Weekly Control-M_Jobs_Usage_Report 
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[01-Aug-16],Tue[02-Aug-16],Wed[03-Aug-16],Thu[04-Aug-16],Fri[05-Aug-16],Sat[06-Aug-16],Sun[07-Aug-16]  
MISCELLANEOUS,NONODES,CTMINT2,6,6,6,6,6,6,6
MISCELLANEOUS,NONODES,DCINFO,1,1,2,2,2,1,1
MISCELLANEOUS,NONODES,HAO,1,1,1,1,1,1,1
MISCELLANEOUS,NONODES,I22,2,2,2,2,2,0,0
MISCELLANEOUS,NONODES,I42,1,1,1,1,1,1,1
MISCELLANEOUS,NONODES,Q2K,10,12,10,11,9,8,7
MISCELLANEOUS,NONODES,Q2O,1,1,1,1,1,1,1
MISCELLANEOUS,NONODES,TSA_TL_BANKING,3,3,3,3,3,3,3
MISCELLANEOUS,NONODES,TSA_TL_GENERAL,1,1,1,1,1,1,1
TELE-EXPLOITATION LIGHT,ZARMTSAROS-AP15,TSA_TL_RA,9,9,9,9,9,9,9
MISCELLANEOUS,ctmint2,Q2K,2,2,4,6,6,6,4
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,CTMINT2,23,23,23,23,23,23,23
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,I22,6,6,6,6,6,4,4
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,I42,16,16,8,10,5,5,7
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,MZ9,0,0,0,0,0,0,2
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,Q2J,167,166,81,106,80,89,94
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,Q2K,99,106,46,52,50,55,64
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,Q2N,9,10,6,7,8,8,8
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,Q2O,89,88,46,57,48,44,50
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,Q2R,65,66,30,40,32,35,38
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,TSA_TL_GENERAL,14,14,10,12,8,8,10
SMO - SERVICE PLANIFICATION - NON PROD,ctmint802,TSA_TL_RA,2,2,2,2,2,2,2
EDD - XFB - CFT DEV,eddcftq01,SYN_INT,5,5,5,5,5,5,5
TL SANDBOX LINUX,sapb2m,B2M,4,4,4,4,4,4,4
TL GERMANY D22/I22,sapi22,I22,255,265,170,197,161,167,176
TL GERMANY D22/I22,sapi22,I42,4,4,4,4,6,6,4
MISCELLANEOUS,sapi2b,I2B,2,2,2,2,2,2,2
